filename,fen,side_to_move,source_pdf,source_page,source_diagram,detection_source,created_at,corrected_by,illegal_ok
board_20260225_220736_268077.png,r3qr1k/pp3pbp/2pn4/7Q/3pP3/2NB3P/PPP3P1/R4RK1 w - - 0 1,w,,,,,,,
board_20260225_220830_563858.png,r2qk3/pp1n1pp1/2pbp3/3p3n/2P3bP/1PNP4/PB2PPBP/R3QRK1 w q - 0 1,w,,,,,,,
board_20260225_220928_580562.png,8/8/8/8/5pk1/r4p2/p4K1P/R7 w - - 0 1,w,,,,,,,
board_20260225_221547_414412.png,3k4/3P4/8/7K/P6p/5p1P/1p1R4/1r6 w - - 0 1,w,,,,,,,
board_20260225_221648_814164.png,8/p2k1ppp/3p4/1Pp5/P3K3/5P2/6PP/8 w - - 0 1,w,,,,,,,
board_20260225_221807_137303.png,8/8/6kp/1p6/5P2/1P6/P6K/8 w - - 0 1,w,,,,,,,
board_20260225_221829_963761.png,8/8/6kp/1p6/5P2/1P6/P6K/8 w - - 0 1,w,,,,,,,
board_20260225_222027_411963.png,8/8/6kp/1p6/5P2/1P6/P6K/8 w - - 0 1,w,,,,,,,
board_20260225_222321_653530.png,8/1r3pk1/4p1p1/2RpP2p/2qP3P/Pp4P1/1Q3P1K/8 w - - 0 1,w,,,,,,,
board_20260225_222418_197258.png,8/8/1p2k3/p6p/P1P4P/1P1K4/8/8,,,,,,,,
board_20260225_222518_326688.png,8/8/1pk5/7p/PKP4P/8/8/8,,,,,,,,
board_20260225_222638_026751.png,8/8/1pk5/7p/PKP4P/8/8/8,,,,,,,,
board_20260225_222638_059609.png,8/2K1n3/1p5B/pPp5/2P5/1k6/8/8 w - - 0 1,w,,,,,,,
board_20260225_222734_705194.png,3k4/4b1N1/p7/1p6/8/8/2K5/8 w - - 0 1,w,,,,,,,
board_20260225_222821_416952.png,8/7p/7K/3k4/8/3b2P1/7P/8 w - - 0 1,w,,,,,,,
board_20260225_223051_185127.png,8/3BK2p/5Rp1/8/5r1k/7P/8/8,,,,,,,,
board_20260225_223145_881339.png,8/5B2/5n2/4k1P1/7P/5K2/8/8,,,,,,,,
board_20260225_223255_265154.png,8/5p2/4p3/4P1k1/K5P1/8/5N2/8,,,,,,,,
board_20260225_223450_052819.png,8/1p3p2/p7/8/1PP2k2/4p3/P3K2P/8,,,,,,,,
board_20260225_223611_105100.png,8/8/6p1/1pk2p1p/2n2P2/P5P1/6KP/5B2 w - - 0 1,w,,,,,,,
board_20260225_223931_630268.png,8/8/6p1/3p1k1p/p1pP1P1b/2P2K1P/1P6/2B5 w - - 0 1,w,,,,,,,
board_20260225_224022_820353.png,8/6p1/8/p2kbp1p/Pp6/1P2P2P/4K1P1/2B5 w - - 0 1,w,,,,,,,
board_20260225_224242_545980.png,8/7p/8/6p1/3Kp1B1/7P/5kP1/8,,,,,,,,
board_20260225_224448_437214.png,8/8/8/p1b2p1p/Pp2k1pP/1P2P1P1/4K3/6B1,,,,,,,,
board_20260225_224448_472224.png,8/7p/8/6p1/3Kp1B1/7P/5kP1/8,,,,,,,,
board_20260225_224521_351432.png,8/8/8/p1K4B/p3p3/8/1P3k2/8,,,,,,,,
board_20260225_224634_518407.png,8/8/8/1B6/p7/4p3/1P1k4/1K6 w - - 0 1,w,,,,,,,
board_20260225_224802_150986.png,8/1p1k4/pBP5/PP3pK1/7p/7P/8/4b3 b - - 0 1,b,,,,,,,
board_20260225_225413_044123.png,2kr4/pb3p1p/1p1p4/2P5/2P1q1r1/2Q2r2/P4BPP/2R4K w - - 0 1,w,,,,,,,
board_20260225_225719_489767.png,2kr2r1/pb3p1p/1p1p2q1/2P1n3/2P1P3/2Q1BP2/P3B2P/2R3RK w - - 0 1,w,,,,,,,
board_20260225_230035_698176.png,4r1k1/ppr1qpp1/3bp1p1/8/3PR1Q1/1B3RP1/PP3PKP/8,,,,,,,,
board_20260225_230123_415627.png,4r1k1/pp1Qbqp1/8/6p1/2rP4/1B2R1P1/PP3PKP/8,,,,,,,,
board_20260225_230319_962595.png,6k1/1b3p1p/1p2p1p1/pP2Pnq1/P1P5/2B5/r4PPP/R3NQK1,,,,,,,,
board_20260225_230356_568872.png,6k1/1b3p1p/1p2p1p1/pP2P1q1/P1P5/2BQn3/r4PPP/R3N1K1,,,,,,,,
board_20260225_230416_769697.png,2r3k1/pp2ppbp/3p1np1/3P4/4P3/4BP2/PP1K2PP/5B1R,,,,,,,,
board_20260225_230456_969339.png,2B3k1/2n1pp1p/pB1p2p1/1p1P4/4P3/1P3PP1/Pb1K3P/8,,,,,,,,
board_20260225_230606_047175.png,r2q1rk1/1b1n1pbn/p2p2p1/1p1Pp2p/PPp1P3/2P1BNNP/2BQ1PP1/R3R1K1,,,,,,,,
board_20260225_230729_446043.png,r2q1rk1/1b1n1pbn/p2p2p1/1p1Pp2p/PPp1P3/2P1BNNP/2BQ1PP1/R3R1K1,,,,,,,,
board_20260225_230922_175182.png,r1r1q3/1b2bpkn/p2p1np1/1p1Pp2p/PPp1P3/R1P1BN1P/R1B2PP1/QN4K1,,,,,,,,
board_20260225_231551_081929.png,8/8/4Bk2/pPp2P2/6Kp/6bP/2P5/8,,,,,,,,
board_20260225_231607_471596.png,8/p7/1p1b4/1B6/P1Pk4/6p1/6K1/8,,,,,,,,
board_20260225_231621_868171.png,8/1B6/pp1b4/8/PkP5/6p1/6K1/8,,,,,,,,
board_20260225_233115_437797.png,8/8/3k4/6P1/1p2BPK1/2b5/8/8,,,,,,,,
board_20260225_233539_349892.png,8/1p1k1Bp1/2p2b1p/p6P/P4P2/1P2P1P1/4K3/8,,,,,,,,
board_20260225_233616_677174.png,8/4k1p1/8/p1p1PKpP/P1B2P2/8/3b4/8,,,,,,,,
board_20260225_233630_526747.png,8/p7/5k2/pPp1p3/2P3Kb/8/8/3B4,,,,,,,,
board_20260225_233707_327257.png,8/p7/8/pPp1p3/2P1K3/1B6/3k4/b7,,,,,,,,
board_20260225_234611_790130.png,8/8/1p6/p1p1pk2/B1P5/5K2/3b4/8,,,,,,,,
board_20260225_234821_733637.png,8/8/1p6/pBp1p3/2Pb4/8/4K3/6k1,,,,,,,,
board_20260225_234841_859226.png,8/8/2p3k1/1p1p1p2/1B1PbK2/8/8/8,,,,,,,,
board_20260225_235150_767958.png,8/8/3p1k2/b1pP3B/P1P1KP2/8/8/8,,,,,,,,
board_20260225_235304_010323.png,8/6k1/3p4/2pPp2p/PbP1B3/6P1/5PK1/8,,,,,,,,
board_20260225_235332_872144.png,8/1p3k1p/p1bPp3/P3B1K1/8/5P2/1P4P1/8,,,,,,,,
board_20260225_235400_696286.png,6k1/1p4Bp/p1bPp2K/P5P1/5P2/8/1P6/8,,,,,,,,
board_20260225_235447_497205.png,8/P7/4k1p1/2B4p/5K2/6P1/1P4bP/8,,,,,,,,
board_20260225_235529_035316.png,b7/P7/6p1/1P3k2/3K3P/8/5B2/8,,,,,,,,
board_20260225_235644_857020.png,1K6/8/2k1b1pB/1p2Pp1p/3P3P/2P3P1/8/8,,,,,,,,
board_20260225_235745_241498.png,8/4K3/2k3p1/1p2Pp1p/2b2B1P/2P3P1/8/8,,,,,,,,
board_20260225_235832_470426.png,8/pbR1r1kp/6p1/1p6/4PB2/P2P4/6PP/6K1,,,,,,,,
board_20260225_235902_595675.png,2B5/8/3kp3/1P3pp1/3b4/7P/6K1/8,,,,,,,,
board_20260225_235936_330292.png,2B5/8/1b3k2/3K1pp1/4p3/7P/8/8,,,,,,,,
board_20260226_000014_731746.png,8/8/4kpp1/3p1b2/p6P/2B5/6P1/6K1,,,,,,,,
board_20260226_000034_046431.png,8/p7/5k2/pPp1p3/2P3KP/8/8/3Bb3,,,,,,,,
board_20260226_000046_337935.png,8/5kp1/7p/1bP5/1P1B2P1/7P/8/6K1,,,,,,,,
board_20260226_000103_366749.png,8/6p1/7p/1bP5/1P4PP/3k4/3B1K2/8,,,,,,,,
board_20260226_000132_875847.png,8/3b2p1/7p/2P5/1P4PP/3k1K2/3B4/8,,,,,,,,
